ProductID,Brand,Name,Description,Price,MSRP,Cost
1,TechWave,SpeedBoost Wireless Charging Pad,Fast -  efficient -  wireless power.,39.65,44.41,14.67
2,TechWave,PixelGrip Gaming Mouse,Precision control for gamers,26.55,29.74,9.82
3,TechWave,SoundSync Bluetooth Earbuds,Seamless audio freedom anytime,69.99,78.39,25.90
4,TechWave,UltraView HD Webcam,Crystal-clear video conferencing,32.42,36.31,12.00
5,TechWave,TurboDrive External SSD,Lightning-fast storage on-the-go,110.99,124.31,41.07
6,EcoEra,GreenGrow Indoor Herb Garden,Sustainable -  fresh home gardening,209.99,235.19,77.70
7,EcoEra,PureFlow Bamboo Water Bottle,Eco-friendly hydration companion,29.99,33.59,11.10
8,EcoEra,EarthGuard Plant-Based Cleaner,Natural -  powerful cleaning solution,17.98,20.14,6.65
9,EcoEra,EcoCycle Recycled Laptop Sleeve,Protect your tech sustainably,45.68,51.16,16.90
10,EcoEra,BioBlend Organic Protein Powder,Clean -  plant-powered nutrition boost,89.99,100.79,33.30
11,LuxeLife,GlamGlow LED Vanity Mirror,Illuminate your beauty routine,199.98,223.98,73.99
12,LuxeLife,SilkSoothe Sleep Mask Set,Luxurious -  restful sleep experience,45.99,51.51,17.02
13,LuxeLife,PurePlush Faux Fur Throw,Cozy up in ultimate comfort,87.66,98.18,32.43
14,LuxeLife,JewelShine Crystal Jewelry Set,Sparkle and shine elegantly,245.88,275.39,90.98
15,LuxeLife,LuxeLift Firming Night Cream,Rejuvenate skin while you sleep,99.67,111.63,36.88
16,AdventureX,TrekTech Outdoor Survival Kit,Essential gear for adventurers,109.78,122.95,40.62
17,AdventureX,TrailBlaze Camping Lantern,Light up your outdoor nights,67.89,76.04,25.12
18,AdventureX,HikePro Trekking Poles Set,Stability and support on trails,75.99,85.11,28.12
19,AdventureX,SummitShield Waterproof Backpack,Keep your gear dry anywhere,115.99,129.91,42.92
20,AdventureX,ExploreFit Multi-Tool Set,Versatile tools for outdoor enthusiasts,176.77,197.98,65.40
